,price,description,Zipcodes,districts,house_size,number_of_rooms
11459,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,"69,03",3
11460,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,37,2
11461,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,49,2
11462,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,88,3
11463,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,57,2
11464,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,50,2
11465,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,50,2
11466,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,82,3
11467,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,162,7
11468,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,65,3
11469,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,40,1
11470,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,"32,69",1
11471,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,86,3
11472,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,"68,23",3
11473,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,90,3
11474,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,50,3
11475,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,50,2
11476,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,"69,03",3
11477,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,37,2
11478,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,49,2
11479,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,88,3
11480,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,57,2
11481,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,50,2
11482,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,2
11483,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,82,3
11484,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,162,7
11485,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,65,3
11486,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,40,1
11487,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,"32,69",1
11488,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,86,3
11489,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,"68,23",3
11490,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,90,3
11491,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,50,3
11492,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,50,2
11493,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,"69,03",3
11494,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,37,2
11495,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,49,2
11496,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,88,3
11497,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,57,2
11498,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,2
11499,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,50,2
11500,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,82,3
11501,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,162,7
11502,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,65,3
