,price,description,Zipcodes,districts,house_size,number_of_rooms
0,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,50,2
1,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,"69,03",3
2,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,37,2
3,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,49,2
4,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,88,3
5,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,57,2
6,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,50,2
7,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,2
8,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,82,3
9,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,162,7
10,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,65,3
11,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,40,1
12,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,"32,69",1
13,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,86,3
14,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,"68,23",3
15,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,90,3
16,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,50,3
17,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,50,2
18,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,"69,03",3
19,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,37,2
20,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,49,2
21,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,88,3
22,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,57,2
23,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,2
24,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,50,2
25,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,82,3
26,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,162,7
27,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,65,3
28,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,40,1
29,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,"32,69",1
30,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,86,3
31,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,"68,23",3
32,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,90,3
33,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,50,3
34,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,2
35,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,"69,03",3
36,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,37,2
37,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,49,2
38,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,88,3
39,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,57,2
40,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,50,2
41,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,50,2
42,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,82,3
43,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,162,7
44,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,65,3
45,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,40,1
46,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,"32,69",1
47,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,86,3
48,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,"68,23",3
49,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,90,3
50,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,3
51,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,50,2
52,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,"69,03",3
53,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,37,2
54,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,49,2
55,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,88,3
56,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,57,2
57,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,50,2
58,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,50,2
59,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,82,3
60,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,162,7
61,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,65,3
62,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,40,1
63,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,"32,69",1
64,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,86,3
65,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,"68,23",3
66,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,90,3
67,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,50,3
68,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,50,2
69,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,"69,03",3
70,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,37,2
71,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,49,2
72,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,88,3
73,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,57,2
74,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,50,2
75,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,50,2
76,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,82,3
77,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,162,7
78,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,65,3
79,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,40,1
80,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,"32,69",1
81,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,86,3
82,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,"68,23",3
83,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,90,3
84,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,50,3
85,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,50,2
86,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,"69,03",3
87,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,37,2
88,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,49,2
89,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,88,3
90,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,57,2
91,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,50,2
92,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,50,2
93,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,82,3
94,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,162,7
95,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,65,3
96,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,40,1
97,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,"32,69",1
98,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,86,3
99,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,"68,23",3
100,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,90,3
101,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,50,3
102,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,50,2
103,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,"69,03",3
104,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,37,2
105,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,49,2
106,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,88,3
107,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,57,2
108,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,50,2
109,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,50,2
110,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,82,3
111,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,162,7
112,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,65,3
113,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,40,1
114,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,"32,69",1
115,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,86,3
116,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,"68,23",3
117,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,90,3
118,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,50,3
119,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,50,2
120,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,"69,03",3
121,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,37,2
122,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,49,2
123,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,88,3
124,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,57,2
125,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,50,2
126,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,50,2
127,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,82,3
128,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,162,7
129,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,65,3
130,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,40,1
131,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,"32,69",1
132,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,86,3
133,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,"68,23",3
134,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,90,3
135,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,50,3
136,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,50,2
137,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,"69,03",3
138,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,37,2
139,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,49,2
140,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,88,3
141,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,57,2
142,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,2
143,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,50,2
144,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,82,3
145,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,162,7
146,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,65,3
147,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,40,1
148,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,"32,69",1
149,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,86,3
150,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,"68,23",3
151,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,90,3
152,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,50,3
153,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,50,2
154,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,"69,03",3
155,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,37,2
156,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,49,2
157,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,88,3
158,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,57,2
159,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,50,2
160,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,50,2
161,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,82,3
162,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,162,7
163,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,65,3
164,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,40,1
165,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,"32,69",1
166,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,86,3
167,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,"68,23",3
168,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,90,3
169,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,3
170,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,50,2
171,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,"69,03",3
172,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,37,2
173,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,49,2
174,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,88,3
175,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,57,2
176,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,50,2
177,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,50,2
178,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,82,3
179,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,162,7
180,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,65,3
181,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,40,1
182,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,"32,69",1
183,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,86,3
184,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,"68,23",3
185,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,90,3
186,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,50,3
187,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,50,2
188,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,"69,03",3
189,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,37,2
190,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,49,2
191,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,88,3
192,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,57,2
193,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,50,2
194,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,50,2
195,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,82,3
196,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,162,7
197,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,65,3
198,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,40,1
199,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,"32,69",1
200,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,86,3
201,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,"68,23",3
202,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,90,3
203,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,50,3
204,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,50,2
205,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,"69,03",3
206,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,37,2
207,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,49,2
208,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,88,3
209,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,57,2
210,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,50,2
211,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,50,2
212,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,82,3
213,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,162,7
214,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,65,3
215,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,40,1
216,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,"32,69",1
217,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,86,3
218,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,"68,23",3
219,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,90,3
220,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,50,3
221,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,50,2
222,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,"69,03",3
223,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,37,2
224,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,49,2
225,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,88,3
226,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,57,2
227,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,50,2
228,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,50,2
229,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,82,3
230,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,162,7
231,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,65,3
232,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,40,1
233,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,"32,69",1
234,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,86,3
235,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,"68,23",3
236,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,90,3
237,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,50,3
238,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,50,2
239,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,"69,03",3
240,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,37,2
241,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,49,2
242,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,88,3
243,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,57,2
244,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,50,2
245,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,50,2
246,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,82,3
247,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,162,7
248,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,65,3
249,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,40,1
250,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,"32,69",1
251,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,86,3
252,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,"68,23",3
253,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,90,3
254,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,50,3
255,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,50,2
256,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,"69,03",3
257,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,37,2
258,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,49,2
259,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,88,3
260,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,57,2
261,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,50,2
262,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,50,2
263,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,82,3
264,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,162,7
265,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,65,3
266,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,40,1
267,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,"32,69",1
